City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,bilibino,68.0546,166.4372,288.57,66,71,4.72,RU,1721345100
121,labytnangi,66.6572,66.4183,285.62,77,59,5.65,RU,1721345324
122,haiku-pauwela,20.9219,-156.3051,302.13,64,20,10.29,US,1721345498
123,totness,5.8833,-56.3167,298.91,86,29,2.93,SR,1721345499
124,petropavlovsk-kamchatsky,53.0452,158.6483,288.48,63,75,2.0,RU,1721345500
125,hawaiian paradise park,19.5933,-154.9731,301.89,69,20,5.66,US,1721345186
126,socorro,31.6546,-106.3033,308.07,35,75,5.14,US,1721345502
127,hadibu,12.65,54.0333,299.01,84,100,8.39,YE,1721345503
128,iskateley,67.6803,53.1512,278.61,91,33,3.17,RU,1721345504
129,itoman,26.1247,127.6694,305.16,77,40,3.6,JP,1721345191
130,lae,-6.7221,146.9847,297.52,78,97,0.61,PG,1721345507
131,balkanabat,39.5108,54.3671,303.46,28,8,2.29,TM,1721345508
132,olonkinbyen,70.9221,-8.7187,278.4,89,100,3.45,SJ,1721345104
133,bac lieu,9.285,105.7244,299.15,85,98,3.27,VN,1721345510
134,tikamgarh,24.745,78.8333,302.49,74,94,2.54,IN,1721345511
135,sakaraha,-22.9,44.5333,287.93,54,0,1.32,MG,1721345512
136,tiksi,71.6872,128.8694,279.34,75,79,3.3,RU,1721345135
137,lerwick,60.1545,-1.1494,286.15,93,83,1.18,GB,1721345515
138,sarykemer,43.0,71.5,295.86,41,14,2.06,KZ,1721345516
139,lubang,13.8584,120.124,300.38,87,100,6.4,PH,1721345517
140,al mindak,20.1588,41.2834,299.93,25,95,0.85,SA,1721345518
141,whitehorse,60.7161,-135.0538,295.43,37,75,3.09,CA,1721344883
142,buka,40.8108,69.1986,296.4,32,48,3.26,UZ,1721345175
143,arar,30.9753,41.0381,305.16,13,0,4.12,SA,1721345522
144,shimoda,34.6667,138.95,301.35,83,100,5.45,JP,1721345524
145,conde,-7.2597,-34.9075,296.85,83,20,2.57,BR,1721345525
146,ilha de mocambique,-15.0342,40.7358,296.88,70,1,2.89,MZ,1721345526
147,svetlyy,54.675,20.1347,287.18,90,28,4.39,RU,1721345527
148,flying fish cove,-10.4217,105.6791,297.97,88,100,6.17,CX,1721345247
149,las heras,-46.5419,-68.9359,273.08,79,27,4.76,AR,1721345433
150,punta arenas,-53.15,-70.9167,278.21,81,40,11.32,CL,1721345471
151,male,4.1748,73.5089,303.12,79,75,6.17,MV,1721345532
152,bandundu,-3.3167,17.3667,298.26,46,21,2.11,CD,1721345533
153,groningen,53.25,6.75,291.02,91,0,2.06,NL,1721345534
154,arrifes,37.7667,-25.7,293.29,88,20,5.14,PT,1721345535
155,ermoupolis,37.4423,24.9425,303.54,42,0,6.69,GR,1721345537
156,mawu,34.4307,104.9176,289.93,94,100,2.45,CN,1721345539
157,copiapo,-27.3667,-70.3333,285.61,64,0,1.07,CL,1721345448
158,new norfolk,-42.7826,147.0587,279.77,92,100,0.49,AU,1721345140
159,mundi,22.0667,76.5,298.71,87,100,4.39,IN,1721345543
160,port augusta,-32.5,137.7667,285.56,50,99,10.59,AU,1721345544
161,duki,30.1541,68.5728,302.75,50,70,2.57,PK,1721345545
162,nemuro,43.3236,145.575,289.26,98,100,3.56,JP,1721345546
163,tevriz,57.509,72.4042,288.56,81,100,3.98,RU,1721345548
164,rio gallegos,-51.6226,-69.2181,277.18,70,0,12.86,AR,1721345315
165,la sarre,48.8002,-79.1996,290.35,68,48,2.39,CA,1721345550
166,nar'yan-mar,67.6713,53.087,278.55,92,33,3.23,RU,1721345551
167,chelyabinsk,55.1544,61.4297,288.2,100,40,2.0,RU,1721345552
168,cam ranh,11.9214,109.1591,300.13,83,20,0.0,VN,1721345553
169,kismayo,-0.3582,42.5454,298.03,81,77,6.49,SO,1721345554
170,basco,20.4487,121.9702,303.4,78,4,8.25,PH,1721345015
171,san pedro pochutla,15.7333,-96.4667,303.55,53,72,2.9,MX,1721345314
172,hastings,50.8552,0.5729,293.19,89,92,2.95,GB,1721345558
173,aripuana,-9.1667,-60.6333,297.26,43,72,0.75,BR,1721345559
174,perry,37.2506,-83.1999,301.55,57,73,2.99,US,1721345560
175,calama,-22.4667,-68.9333,288.42,8,0,3.6,CL,1721345561
176,belle fourche,44.6714,-103.8522,306.88,25,26,4.6,US,1721345562
177,mangrol,21.1167,70.1167,300.01,93,100,6.84,IN,1721345563
178,yeppoon,-23.1333,150.7333,288.85,51,0,4.16,AU,1721345564
179,ventspils,57.3894,21.5606,292.11,88,0,3.6,LV,1721345566
180,san antonio de pale,-1.4014,5.6325,296.11,82,99,4.57,GQ,1721345567
181,carauari,-4.8828,-66.8958,298.72,54,68,0.34,BR,1721345568
182,talnakh,69.4865,88.3972,282.75,64,0,4.27,RU,1721345146
183,shahr-e kord,32.3256,50.8644,292.02,27,0,2.06,IR,1721345570
184,newman,37.3138,-121.0208,311.14,9,20,2.42,US,1721345318
185,springfield,37.2153,-93.2982,299.36,57,20,4.92,US,1721345146
186,salinopolis,-0.6136,-47.3561,299.26,81,32,5.0,BR,1721345574
